locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Kraków Wola Justowska,ul. Niezapominajek,3.0,62,1050000,16935.0,bez pośredników,,9,https://adresowo.pl/o/mieszkanie-krakow-wola-justowska-ul-niezapominajek-3-pokojowe-x7o5v8,https://s2.adresowa.pl/oi/47/61/3dd24c_5e1c_cover@2x-3-pokojowe-mieszkanie-krakow-wola-justowska-ul-niezapominajek.webp,Kraków Wola Justowska,Niezapominajek,parter,2026.0,blok,,"Na sprzedaż wyjątkowe, nowe 3-pokojowe mieszkanie na parterze, położone na Osiedlu Niezapominajek w jednej z najbardziej prestiżowych i zielonych części Krakowa - Woli Justowskiej. To propozycja dla osób, które szukają czegoś więcej niż standardowego mieszkania. Tutaj zyskujesz przestrzeń, prywatność i codzienny komfort życia w otoczeniu zieleni, ciszy i nowoczesnej zabudowy. Najważniejsze atuty nieruchomości: - 62,66 m² funkcjonalnej powierzchni - 3 pokoje - duży ogród o powierzchni 170 m² - ekspozycja południowa - salon oraz sypialnia doskonale doświetlone przez cały dzień - ostatni budynek na ulicy i jednocześnie ostatni na osiedlu - gwarancja ciszy, spokoju i większej prywatności - duża wierzba tuż za granicą ogrodu, która nadaje ogrodowi wyjątkowy, kameralny klimat - 2 miejsca parkingowe pod wiatą w cenie 55 000 zł - pompa ciepła oraz instalacja fotowoltaiczna - videodomofon Ogród, który robi różnicę Największym atutem tej nieruchomości jest duży ogród 170 m² - idealny do wypoczynku, rodzinnych spotkań, zabawy z dziećmi czy stworzenia własnej zielonej strefy relaksu. Dzięki położeniu mieszkania na końcu osiedla i ostatniemu budynkowi przy ulicy, ogród zapewnia wyjątkową prywatność i poczucie oddechu od miejskiego zgiełku. Lokalizacja, która łączy prestiż i naturę Wola Justowska to jedna z najbardziej pożądanych lokalizacji w Krakowie - ceniona za spokój, zieleń i szybki dostęp do centrum miasta. W pobliżu znajdują się: - Komunikacja autobusowa - 250 m od osiedla - Las Wolski - ok. 700 m - tereny spacerowe i rowerowe - miejsca do aktywnego wypoczynku - sklepy, szkoły, przedszkola i pełna infrastruktura codziennego życia Bardzo dobra komunikacja umożliwia sprawny dojazd do centrum Krakowa, lotniska Kraków-Balice oraz autostrady A4. Oferta prywatna: - bez prowizji - bez pośredników - bez podatku PCC Termin oddania inwestycji: III kwartał 2026 r. To idealna propozycja dla osób, które chcą mieszkać w nowym, komfortowym mieszkaniu z dużym ogrodem, w spokojnym i prestiżowym otoczeniu — bez kompromisów. Zapraszamy do kontaktu.",,,,plastikowe,własność,,50.068993,19.843995
Kraków,Dębniki,3.0,66,899000,13621.0,bez pośredników,,10,https://adresowo.pl/o/mieszkanie-krakow-debniki-3-pokojowe-66-m2-z2c2v2,https://s2.adresowa.pl/oi/35/29/3eb58c_9477_cover@2x-3-pokojowe-mieszkanie-krakow-debniki.webp,Kraków Dębniki,,2,2001.0,blok,,"Na sprzedaż wyjątkowe mieszkanie dwupoziomowe. Sprzedaż bez pośredników - kupujący nie ponosi żadnych dodatkowych kosztów! Na sprzedaż oferuję bardzo słoneczne, przestronne, dwupoziomowe mieszkanie, zlokalizowane w jednej z najbardziej zielonych i spokojnych części Krakowa na Ruczaju. To idealna propozycja zarówno dla osób szukających przestronnego mieszkania dla siebie, jak i dla inwestorów poszukujących nieruchomości z gotowym potencjałem pod wynajem. Mieszkanie ma 115 m² powierzchni po podłodze, natomiast powierzchnia użytkowa wynosi 66,6 m². Dzięki skosom mieszkanie daje znacznie więcej przestrzeni niż standardowe mieszkania o podobnej powierzchni użytkowej. Skosy bardzo praktycznie zagospodarowano na szafy, garderoby czy praktyczne miejsca do przechowywania, co znacząco zwiększa realną użyteczność mieszkania. Dzięki temu mieszkanie jest bardzo funkcjonalne i oferuje dużo przestrzeni do przechowywania. Dwupoziomowy układ daje poczucie przestrzeni i naturalny podział na część dzienną oraz prywatną. Mieszkanie wyposażone jest w drzwi i rolety antywłamaniowe oraz rolety przeciwsłoneczne. Układ mieszkania: Poziom I: - przedpokój z zabudowaną szafą i schodami prowadzącymi na drugi poziom - oddzielna kuchnia - funkcjonalna łazienka - przestronny salon z wyjściem na balkon - pokój/gabinet Poziom II: - duża sypialnia z miejscem do pracy, relaksu oraz garderobą Do mieszkania przynależy również piwnica o powierzchni ok. 6 m², która zapewnia dodatkowe miejsce do przechowywania. Dodatkowym atutem jest możliwość zakupu garażu o powierzchni ok. 15 m² wraz z miejscem postojowym przed nim za dodatkową opłatą w wysokości 100 000 zł. Garaż znajduje się na parterze budynku, obok wejścia do klatki. Budynek znajduje się na niewielkim, kameralnym osiedlu o niskiej zabudowie. W klatce znajdują się tylko 4 mieszkania, co zapewnia prywatność, ciszę i komfort codziennego życia. Jednym z największych atutów lokalizacji jest bezpośrednie sąsiedztwo Lasu Borkowskiego - zaledwie około 50 metrów od budynku. To idealne miejsce dla osób aktywnych oraz tych, którzy cenią bliskość natury. Mimo spokojnej lokalizacji mieszkanie ma bardzo dobre połączenie z centrum miasta. W najbliższej okolicy znajdują się: - Kampus Uniwersytetu Jagiellońskiego - przedszkola, żłobki i szkoły - Zakrzówek - Carrefour Express, Lidl, Biedronka, Kaufland, Lewiatan - sklepy osiedlowe i Żabka - apteki - siłownie, kluby fitness i inne obiekty sportowe - restauracje oraz punkty usługowe Dzięki temu wszystkie codzienne potrzeby można załatwić w najbliższej okolicy. Lokal może generować dochód od razu po zakupie lub zostać przeznaczony na komfortowe mieszkanie dla właściciela. Bliskość kampusu UJ oraz bardzo dobra komunikacja z centrum sprawiają, że jest to atrakcyjna lokalizacja pod wynajem długoterminowy. Dlaczego warto kupić to mieszkanie? - aż 115 m² przestrzeni po podłodze - funkcjonalne zagospodarowanie skosów i dużo miejsca do przechowywania - dwupoziomowy układ dający poczucie przestrzeni - słoneczne - bardzo spokojna i zielona okolica - tylko 50 m do Lasu Borkowskiego - kameralna klatka - tylko 4 mieszkania - balkon oraz piwnica - możliwość zakupu garażu 15 m² w budynku - świetna lokalizacja - mieszkanie już wynajmowane - gotowa inwestycja - sprzedaż bez pośredników - brak prowizji dla kupującego To mieszkanie łączy w sobie spokój, zieleń i bardzo dobrą komunikację z centrum Krakowa, a jednocześnie oferuje przestrzeń, której trudno szukać w nowych inwestycjach. Zapraszam do kontaktu oraz obejrzenia mieszkania na żywo - dopiero wtedy można w pełni poczuć jego przestrzeń. Pośrednikom nieruchomości dziękuję - nie jestem zainteresowany współpracą. Proszę nie dzwonić z ofertami pośrednictwa. Numery biur nieruchomości będą blokowane.",tak,tak,osobna,drewniane,własność,,50.006567,19.873674
Kraków Podgórze,ul. Lasówka,3.0,53,999000,18849.0,bez pośredników,,15,https://adresowo.pl/o/mieszkanie-krakow-podgorze-ul-lasowka-3-pokojowe-y3o1v8,https://s2.adresowa.pl/oi/5e/72/3eb418_b824_cover@2x-3-pokojowe-mieszkanie-krakow-podgorze-ul-lasowka.webp,Kraków Podgórze,Lasówka,3,2024.0,blok,,"Gotowe do zamieszkania! 3-pokojowe mieszkanie wykończone według projektu – Osiedle Lasówka, Kraków – Płaszów ul. Lasówka 30b Zamieszkaj wśród zieleni, zaledwie 100 metrów od Bulwarów Wiślanych! Na sprzedaż nowoczesne, w pełni wykończone mieszkanie o powierzchni 52,93 m², zrealizowane według indywidualnego projektu aranżacyjnego – gotowe do zamieszkania od zaraz! Mieszkanie wykończone pod siebie na wysokojakościowych sprzętach AGD i meblach na zamówienie. Idealne dla rodziny lub pary ceniącej naturę i komfort: 3 pokoje: Salon z aneksem kuchennym – 20,08 m² Sypialnia – 12,94 m² Sypialnia – 9,10 m² Łazienka – 4,62 m² Korytarz – 6,19 m² Logia Całkowita powierzchnia: 52,93 m² Wykończenie mieszkania: Nowoczesny projekt wnętrza, wysoka jakość materiałów, spójna kolorystyka, wbudowane szafy, gotowy aneks kuchenny, oświetlenie – wystarczy wprowadzić się! Atuty lokalizacji i osiedla: Tylko 100 metrów od Bulwarów Wiślanych – doskonałe trasy na spacery i rower Blisko Parku Rzecznego Ogród Płaszów Zieleń wokół osiedla: aż 77% powierzchni biologicznie czynnej Kameralne, nowoczesne osiedle Ścieżki do biegania i jazdy na rowerze w bezpośrednim sąsiedztwie Przystępna komunikacja: Autobusy – 50 m Tramwaje – 900 m Zamieszkaj w miejscu, gdzie natura spotyka nowoczesność. Gotowe, urządzone mieszkanie w zielonej części Krakowa czeka na Ciebie! Dodatkowo miejsce w garażu 49 tys (możliwość zakupu maksymalnie 2 miejsc) Zainteresowany/a? Zapraszam do kontaktu Prośba o niekontaktowanie się biur nieruchomości",tak,tak,aneks,plastikowe,własność,,50.048941,19.995477
Kraków,ul. Kobierzyńska,2.0,48,801360,16695.0,bez pośredników,,+3 podobne oferty,https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-2-pokojowe-c5g4m1,https://s2.adresowa.pl/development/670664/nowe-mieszkania-apartamenty-casa-sole-4bda_cover.jpg,Kraków ,Kobierzyńska,1,2025.0,,,"Nowe mieszkanie 2-pokojowe o powierzchni 48 m² w inwestycji Apartamenty CASA SOLE dewelopera Smart Apartments Sp.z o.o., na 1 piętrze w budynku 193E pod adresem ul. Kobierzyńska 193E, Kraków. Planowany termin oddania to III kwartał 2025 roku. O inwestycji Casa Sole to nowoczesna, przyjazna architektura, przyjazna architektura zaprojektowana dla rodzin. Inwestycja obejmuje budowę czterokondygnacyjnego budynku mieszkalnego, wielorodzinnego, wykończonego trwałymi i eleganckimi materiałami z dbałością o wszelkie detale architektoniczne. Klienci mają do wyboru 11 mieszkań o zróżnicowanym układzie i powierzchni. W ofercie znajdują się mieszkania z miejscami postojowymi w garażu podziemnym oraz komórkami lokatorskimi. Na parterze dostępne są 3 lokale usługowe. Budynek wyposażony jest w dwubiegową klatkę schodową i windę obsługującą wszystkie kondygnacje. Nieruchomość jest również przystosowana do potrzeb osób niepełnosprawnych. Lokalizacja Casa Sole to doskonałe miejsce dla osób poszukujących mieszkania w dobrze skomunikowanej lokalizacji, a jednocześnie na terenie, z niską, kameralną zabudową. Nie bez znaczenia pozostaje bliskość Kampusu Uniwersytetu Jagiellońskiego, Krakowskiego Parku Technologicznego oraz licznych biur międzynarodowych korporacji. Dzięki dobrej komunikacji autobusowej można bez problemu dotrzeć do centrum miasta. Pokonując krótki odcinek pieszo można dojść do szkół, przedszkoli, aptek, przychodni oraz do sklepów. Tereny rekreacyjne , takie jak Krakowski Klub Jazdy Konnej , Skałki Twardowskiego, Las Żywiecki , Las Borkowski , centra sportu i rekreacji czy też ścieżki rowerowe sprzyjają aktywnemu wypoczynkowi. W bliskim sąsiedztwie realizowane są inwestycje miejskie; Trasa Łagiewnicka, Dom kultury na Ruczaju.",,,,,własność,,50.013000488281,19.899000167847
Kraków Prądnik Czerwony,ul. mjr. Ryszarda Nuszkiewicza,3.0,69,970000,14058.0,Pośrednik,,40,https://adresowo.pl/o/mieszkanie-krakow-pradnik-czerwony-ul-mjr-ryszarda-nuszkiewicza-3-pokojowe-t7u0e2,https://s2.adresowa.pl/oi/4a/3e/3eb67e_bf8e_cover@2x-3-pokojowe-mieszkanie-krakow-pradnik-czerwony-ul-mjr-ryszarda-nuszkiewicza.webp,Kraków Prądnik Czerwony,mjr. Ryszarda Nuszkiewicza,2,1997.0,blok,,"| Oferujemy na sprzedaż przestronne, 3-pokojowe mieszkanie o powierzchni 70 m², zlokalizowane na Prądniku Czerwonym przy ul. Nuszkiewicza w Krakowie. Lokal usytuowany jest na 2. piętrze kameralnego, 3-piętrowego budynku wybudowanego z cegły w 1997 roku. Na powierzchnię mieszkania składają się: trzy niezależne pokoje o powierzchniach: 10,37 m², 15,33 m² oraz 16,32 m², jasna, ustawna kuchnia o powierzchni 15 m², przestronna łazienka o powierzchni 8,34 m², funkcjonalny przedpokój. Dodatkowym atutem nieruchomości są dwa balkony o powierzchniach 4,20 m² oraz 3,69 m². Mieszkanie jest zadbane i wymaga jedynie odświeżenia. Stolarka okienna częściowo plastikowa, częściowo drewniana. Na podłogach znajdują się panele oraz płytki. W cenie nieruchomości może pozostać zabudowa kuchenna wraz ze sprzętem oraz zabudowy stałe. Ekspozycja okien na strony północną i zachodnią zapewnia komfortowe nasłonecznienie pomieszczeń. Miesięczny czynsz administracyjny wynosi około 900 zł dla 3 osób i obejmuje zaliczki na ogrzewanie, wodę, wywóz nieczystości oraz fundusz remontowy. W mieszkaniu nie ma instalacji gazowej. Ogrzewanie oraz ciepła woda pochodzą z sieci miejskiej. Nieruchomość położona jest w bardzo atrakcyjnej lokalizacji. W najbliższym otoczeniu znajdują się sklepy, punkty usługowe, placówki edukacyjne, przedszkola oraz tereny rekreacyjne, w tym Park Zaczarowanej Dorożki. Dodatkowym atutem jest dobra komunikacja z pozostałymi częściami miasta. To idealna propozycja dla rodzin, jak również osób poszukujących komfortowego mieszkania w spokojnej i dobrze skomunikowanej części Krakowa. Kontakt: Anna Antczak Telefon: [numer] E-mail: [email] Serdecznie zapraszamy do kontaktu i umówienia się na prezentację nieruchomości. Prezentacja jest bezpłatna po podpisaniu umowy pośrednictwa. ::DODATKOWE INFORMACJE | Rodzaj budynku: blok | Dozór budynku: tak - jest | Widok: na osiedle | Gaz: brak | Woda: ciepła - miejska | Dojazd: asfalt | Otoczenie: osiedle | Ogrzewanie: C.O. miejskie | Internet: TAK | Komunikacja publ.: autobus | Winda: NIE | Rozkład: dwustronne rozkładowe | Usytuowanie: dwustronne | Opłaty w czynszu: wywóz śmieci, wywóz nieczystości, woda ciepła, fundusz remontowy, Części wspólne, CO, administracja | Opłaty wg liczników: prąd | Rodzaj mieszkania: jednopoziomowe | Garaż: brak | Stan lokalu: do odświeżenia | Okna: PCV | Instalacje: dobre | Balkon: duży | Liczba balkonów: 2 | Powierzchnia balkonów/tarasów [m2]: 4,2000 | Powierzchnia użytkowa [m2]: 69,6900 | Rok budowy: 1997 | Liczba pokoi: 3 | Wysokość pomieszczeń [m]: 2,6700 | Liczba sypialni: 3 | Powierzchnia pokoi [m2]: 15, 10, 16,4 | Podłogi pokoi: panele | Ściany pokoi: zwykłe | Wystawa okien - pokoje : Pn, Zach | Typ kuchni: jasna z oknem | Rodzaj kuchni: oddzielna | Powierzchnia kuchni [m2]: 14,5 | Podłoga kuchni: płytki | Wystawa okien - kuchnia: Pn | Typ łazienki: razem z wc | Liczba łazienek: 1 | Powierzchnia łazienki [m2]: 8 | Glazura łazienki: glazura | Podłoga łazienki: płytki | Wyposażenie łazienki: WC, wanna, umywalka, pralka, lustro, kabina prysznicowa | Ściany łazienki: glazura | Liczba przedpokoi: 1 | Podłoga przedpokoi: panele | Ściany przedpokoi: zwykłe | ::LINK DO STRONY | [www]/offer/BS4-MS-315555 Zobacz Wirtualny Spacer: [www]/show/?m=ZFtGCsTrevQ ::KONTAKT DO AGENTA | Anna Antczak | [numer] | [email] ::DANE BIURA | Oddział BS4, Krowodrza | Kołowa 5/3 | 30-134 Kraków | [numer] Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Dariusz Sadurski (licencja nr: 803) |",,,,plastikowe,własność,"Wyposażenie: internet, pralka",50.090398,19.961184
Kraków Ruczaj,ul. Obozowa,1.0,55,649000,11800.0,Pośrednik,,13,https://adresowo.pl/o/mieszkanie-krakow-ruczaj-ul-obozowa-1-pokoj-c8q9h0,https://s2.adresowa.pl/oi/55/70/3eb2a6_2b87_cover@2x-1-pokojowe-mieszkanie-krakow-ruczaj-ul-obozowa.webp,Kraków Ruczaj,Obozowa,1,2000.0,blok,,"Na sprzedaż mieszkanie w Krakowie - ul. Obozowa - Ruczaj Na sprzedaż oferujemy funkcjonalne mieszkanie o powierzchni 54,66 m², zlokalizowane przy ul. Obozowej w Krakowie, w dzielnicy Ruczaj. Nieruchomość znajduje się na pierwszym piętrze w budynku z 2000 roku. To propozycja idealna dla osób szukających komfortowego mieszkania do zamieszkania, jak również dla inwestorów poszukujących nieruchomości pod wynajem. Na powierzchnię 54,66m² składa się: salon/sypialnia - możliwość wydzielenia z niego dwóch sypialni lub przeniesienia kuchni i zrobienia aneksu kuchnia łazienka przedpokój dodatkowo: dwa balkony Do mieszkania przynależy garaż murowany w bryle budynku w cenie 75000 zł - obligatoryjny zakup Cechy nieruchomości: Piętro 1/3 Ogrzewanie i ciepła woda: MPEC Czynsz 650 zł Mieszkanie jest jasne i ustawne. Ekspozycja okien: południowy wschód i północny wschód . Lokal wymaga odświeżenia PEŁNA WŁASNOŚĆ, czysta księga wieczysta Zadbane i kameralne osiedle Okolica cicha i spokojna Do mieszkania przynależy piwnica Lokalizacja: Mieszkanie znajduje się przy ul. Obozowej , w spokojnej i dobrze skomunikowanej części Krakowa - na Ruczaju, w rejonie Dębnik. To lokalizacja łącząca kameralny, osiedlowy charakter z szybkim dostępem do pełnej infrastruktury miejskiej. W najbliższym otoczeniu znajdują się sklepy, punkty usługowe, placówki edukacyjne oraz tereny spacerowe, co sprawia, że jest to wygodne miejsce zarówno dla rodzin, par, jak i osób pracujących zdalnie. Dużym atutem jest komunikacja - w odległości kilku minut pieszo znajdują się przystanki autobusowe, zapewniające sprawny dojazd w stronę centrum Krakowa oraz rejonu Czerwonych Maków. W pobliżu przebiegają także ważne ulice, m.in. Kobierzyńska, co ułatwia poruszanie się samochodem po południowo-zachodniej części miasta. Ddo centrum można dojechać komunikacją miejską w około 20 minut, a do rejonu biurowego Czerwone Maki dojść w około 20 minut.",,tak,,,własność,,50.01648,19.909114
Kraków Prokocim,ul. Okólna,2.0,32,500000,15625.0,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-krakow-prokocim-ul-okolna-2-pokojowe-i3m0n8,https://s2.adresowa.pl/oi/1e/2d/3eb408_4218_cover@2x-2-pokojowe-mieszkanie-krakow-prokocim-ul-okolna.webp,Kraków Prokocim,Okólna,4,1960.0,blok,,"Witam, zamienię się mieszkaniem za dom o powierzchni do 115m2 w odległości nie większej jak 40minut od Krakowa bez dopłat, prosta zamiana mieszkanie za dom.Dom musi być w stanie dobrym do zamieszkania z mediami z czytą księgą.",tak,,osobna,plastikowe,spółdzielcze własnościowe,,50.016435,19.984413
Kraków Prokocim,ul. Jana Kurczaba,1.0,29,450000,15517.0,bez pośredników,,7,https://adresowo.pl/o/mieszkanie-krakow-prokocim-ul-jana-kurczaba-1-pokoj-d0b9k5,https://s2.adresowa.pl/oi/5c/49/3eb37c_cb11_cover@2x-1-pokojowe-mieszkanie-krakow-prokocim-ul-jana-kurczaba.webp,Kraków Prokocim,Jana Kurczaba,1,2013.0,blok,,"Sprzedam kawalerkę przy ul. Jana Kurczaba w Krakowie. Powierzchnia niespełna 30 m kw. Blok z 2013 r. Mieszkanie składa się z przedpokoju z szafą, łazienki i pokój z aneksem kuchennym. Najbliższe przystanki tramwaje: Prokocim Szpital i Teligi Sprzedaż bezpośrednio. Bardzo proszę o kontakt osoby wyłącznie zainteresowane zakupem.",,,aneks,plastikowe,własność,,50.013358,20.005787
Kraków,ul. Kobierzyńska,3.0,61,903609,14813.0,bez pośredników,,+6 podobnych ofert,https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-3-pokojowe-i5y1f2,https://s2.adresowa.pl/development/670664/nowe-mieszkania-apartamenty-casa-sole-4bda_cover.jpg,Kraków ,Kobierzyńska,1,2025.0,,,"Nowe mieszkanie 3-pokojowe o powierzchni 61,47 m² w inwestycji Apartamenty CASA SOLE dewelopera Smart Apartments Sp.z o.o., na 1 piętrze w budynku 193E pod adresem ul. Kobierzyńska 193E, Kraków. Planowany termin oddania to III kwartał 2025 roku. O inwestycji Casa Sole to nowoczesna, przyjazna architektura, przyjazna architektura zaprojektowana dla rodzin. Inwestycja obejmuje budowę czterokondygnacyjnego budynku mieszkalnego, wielorodzinnego, wykończonego trwałymi i eleganckimi materiałami z dbałością o wszelkie detale architektoniczne. Klienci mają do wyboru 11 mieszkań o zróżnicowanym układzie i powierzchni. W ofercie znajdują się mieszkania z miejscami postojowymi w garażu podziemnym oraz komórkami lokatorskimi. Na parterze dostępne są 3 lokale usługowe. Budynek wyposażony jest w dwubiegową klatkę schodową i windę obsługującą wszystkie kondygnacje. Nieruchomość jest również przystosowana do potrzeb osób niepełnosprawnych. Lokalizacja Casa Sole to doskonałe miejsce dla osób poszukujących mieszkania w dobrze skomunikowanej lokalizacji, a jednocześnie na terenie, z niską, kameralną zabudową. Nie bez znaczenia pozostaje bliskość Kampusu Uniwersytetu Jagiellońskiego, Krakowskiego Parku Technologicznego oraz licznych biur międzynarodowych korporacji. Dzięki dobrej komunikacji autobusowej można bez problemu dotrzeć do centrum miasta. Pokonując krótki odcinek pieszo można dojść do szkół, przedszkoli, aptek, przychodni oraz do sklepów. Tereny rekreacyjne , takie jak Krakowski Klub Jazdy Konnej , Skałki Twardowskiego, Las Żywiecki , Las Borkowski , centra sportu i rekreacji czy też ścieżki rowerowe sprzyjają aktywnemu wypoczynkowi. W bliskim sąsiedztwie realizowane są inwestycje miejskie; Trasa Łagiewnicka, Dom kultury na Ruczaju.",,,,,własność,,50.013000488281,19.899000167847
Kraków Prądnik Biały,os. Wolfganga Amadeusa Mozarta,1.0,34,514000,15118.0,Pośrednik,,8,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-os-wolfganga-amadeusa-mozarta-1-pokoj-v4i0c6,https://s2.adresowa.pl/oi/28/14/3eb2a0_c54b_cover@2x-1-pokojowe-mieszkanie-krakow-pradnik-bialy-os-wolfganga-amadeusa-mozarta.webp,Kraków Prądnik Biały,os. Wolfganga Amadeusa Mozarta,2,2008.0,blok,,"Na sprzedaż mieszkanie w Krakowie - os. Mozarta - Prądnik biały Na sprzedaż oferujemy funkcjonalne mieszkanie o powierzchni 34,31 m², zlokalizowane przy osiedlu Mozarta w Krakowie, w dzielnicy Prądnik Biały. Nieruchomość znajduje się na drugim piętrze w budynku z 2008 roku. To propozycja idealna dla osób szukających komfortowego mieszkania do zamieszkania, jak również dla inwestorów poszukujących nieruchomości pod wynajem. Mieszkanie znajduje się na zamkniętym osiedlu co sprawia, że jest bardzo bezpieczne i kameralne. Na powierzchnię 34,31m² składa się: salon z aneksem - jest możliwość wydzielenia osobnej sypialni łazienka przedpokój Cechy nieruchomości: Piętro 2/7 Ogrzewanie i ciepła woda: MPEC Czynsz 600 zł Mieszkanie jest jasne i ustawne. Lokal wykończony - stan do wejścia PEŁNA WŁASNOŚĆ, czysta księga wieczysta Budynek z 2008 roku - nowe budownictwo Nowoczesne, zadbane i kameralne osiedle Okolica cicha i spokojna Cichobieżna winda w budynku Na osiedlu dużo ogólnodostępnych miejsc postojowych Lokalizacja: Mieszkanie znajduje się na os. Wolfganga Amadeusa Mozarta, w dobrze rozwiniętej części Prądnika Białego, tuż przy ul. Siewnej i Bociana. To bardzo wygodna lokalizacja dla osób, które chcą mieć codzienne sprawy w zasięgu krótkiego spaceru — w pobliżu znajdują się Lidl, Biedronka, apteka, Rossmann, Pepco, punkty usługowe, restauracje oraz siłownia. Dużym atutem jest bliskość komunikacji miejskiej. W kilka minut pieszo można dojść do przystanków „Bociana”, skąd kursują tramwaje i autobusy zapewniające szybki dojazd m.in. w stronę centrum, Dworca Głównego, Górki Narodowej, Krowodrzy, Borku Fałęckiego oraz Czerwonych Maków. Okolica oferuje także dostęp do szkół, przedszkoli, placówek medycznych, terenów spacerowych i rekreacyjnych. W niedalekiej odległości znajdują się m.in. tereny Dworku Białoprądnickiego oraz infrastruktura sportowa Clepardii. Lokalizacja łączy spokojny, osiedlowy charakter z pełną infrastrukturą handlowo-usługową i bardzo dobrą komunikacją z resztą Krakowa.",,,,,własność,,50.094327,19.952717
