locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Kraków,ul. Juliana Fałata,2.0,61.0,1800000,29557.0,Bez pośredników,ponad miesiąc temu,8.0,https://adresowo.pl/o/mieszkanie-krakow-ul-juliana-falata-2-pokojowe-p9v1d8,https://s2.adresowa.pl/oi/29/40/3a0cc6_cf8f_cover-2-pokojowe-mieszkanie-krakow-ul-juliana-falata.jpg,Kraków,ul. Juliana Fałata,2,1930.0,blok,29 557,"Sprzedam bezpośrednio mieszkanie w dzielnicy SALWATOR o pow.60.9m2 w starym budownictwie. Mieszkanie posiada własne centralne ogrzewanie, okna nowe drewniane, parkiety. Okna mieszkania wychodzą na południowy zachód oraz północny- wschód. Mieszkanie jest zadbane, częściowo umeblowane. Piękna dzielnica, centrum Krakowa a jednocześnie cisza i piękne tereny rekreacyjne. Sąsiedztwo Błoń Krakowskich, Kopca Kościuszki, Wałów Rudawy, Bulwarów Wiślanych. Świetna infrastruktura, doskonała komunikacja.",tak,,osobna,drewniane,własność,"Wyposażenie: internet, kuchenka, lodówka, mikrofalówka, piekarnik, pralka, telewizor, zmywarka",50.056265,19.916349
Kraków Grzegórzki,ul. płk. Francesco Nullo,2.0,36.0,509000,14139.0,Bez pośredników,wczorajnowe,8.0,https://adresowo.pl/o/mieszkanie-krakow-grzegorzki-ul-plk-francesco-nullo-2-pokojowe-t4d6j6,https://s2.adresowa.pl/oi/5d/13/3ac952_e3f8_cover-2-pokojowe-mieszkanie-krakow-grzegorzki-ul-plk-francesco-nullo.jpg,Kraków Grzegórzki,ul. płk. Francesco Nullo,4,1970.0,blok,14 139,"Oferta bezpośrednio od właściciela! Pośredników uprzejmie proszę o kontakt wyłącznie z konkretnym Kupującym. Do sprzedania mieszkanie znajdujące się przy ulicy Francesco Nullo w dzielnicy Grzegórzki. Mieszkanie ma powierzchnię 36m2 i składa się z: - dużego salonu - jasnej kuchni - łazienki - przedpokoju (z wnęką na szafę) - balkonu Układ mieszkania pozwala na zrobienie 2 pokoi w tym salonu z aneksem kuchennym lub salonu i osobnej kuchni wraz z jadalnią. Wymiarowy rozkład sprawia, że nada się zarówno pod inwestycję/wynajem jak i dla pary. Mieszkanie znajduje się na 4 piętrze w budynku czteropiętrowym w zielonej okolicy. Stan techniczny: Mieszkanie wymaga remontu, co daje możliwość dostosowania wnętrza do własnych preferencji i potrzeb. Stan prawny: spółdzielcze własnościowe prawo do lokalu z możliwością założenia księgi wieczystej. Nie ma żadnych obciążeń ani osób zameldowanych. Stan prawny gruntu jest uregulowany. Istnieje możliwość zakupu na kredyt hipoteczny. Udogodnienia: - ciepła woda z sieci miejskiej MPEC - piwnica przynależna do mieszkania - wyremontowana klatka schodowa Parking: Obok budynku znajdują się miejsca parkingowe. Przystanki komunikacji najbliżej mieszkania: Tramwajowy/autobusowy: - Nullo - Rondo Grzegórzeckie - Rondo Mogilskie Pobliskie Uczelnie: - UEK - KSSIP Blisko takich udogodnień jak: - Sklepy: Żabka, Delikatesy Podwawelskie, Biedronka - Siłownia: ""Fitness Platinium"", Basen pływacki - Gastonomia: ""Trattoria Pergamin Nullo"", ""Namaste Kitchen- Indian Street food' - Piekarnia - Apteka - Centrum Medyczne Medicover - Szkoły, Przedszkola Tereny zielone w okolicy: - Ogród Botaniczny Uniwersytetu Jagielońskiego, - Skwer przy Nullo - Bulwar Kurlandzki Mieszkanie jest dostępne od zaraz. Zadzwoń i nie zwlekaj, ponieważ oferta może być za chwilę nieaktualna! W razie pytań, chęci obejrzenia mieszkania na żywo, proszę dzwonić w godzinach 9-23 pod numerem: 733x127x699",tak,,,plastikowe,spółdzielcze własnościowe,,50.062132,19.966646
Kraków Łagiewniki-Borek Fałęcki,ul. ks. Józefa Tischnera,3.0,72.0,919000,12764.0,Bez pośredników,2 dni temu,8.0,https://adresowo.pl/o/mieszkanie-krakow-lagiewniki-borek-falecki-ul-ks-jozefa-tischnera-3-pokojowe-p1e7b3,https://s2.adresowa.pl/oi/14/6e/3ac920_aa71_cover-3-pokojowe-mieszkanie-krakow-lagiewniki-borek-falecki-ul-ks-jozefa-tischnera.jpg,Kraków Łagiewniki-Borek Fałęcki,ul. ks. Józefa Tischnera,4,1996.0,blok,12 764,"Na sprzedaż bezpośrednio od właściciela 3-pokojowe, przestronne, słoneczne mieszkanie o powierzchni 71 m² z balkonem i miejscem postojowym, zlokalizowane w atrakcyjnej i dobrze skomunikowanej części Krakowa – Łagiewniki, przy ul. Tischnera. Lokal idealnie sprawdzi się zarówno dla rodziny, jak i jako inwestycja pod wynajem. •⁠ ⁠Powierzchnia użytkowa: 72 m² •⁠ ⁠3 niezależne pokoje, umożliwiające komfortowe zamieszkanie lub wynajem •⁠ ⁠Wysokość pomieszczeń: 3,8 m - obecnie podwieszony sufit na 2,6 m, z możliwością aranżacji antresoli i powiększenia przestrzeni użytkowej •⁠ ⁠Balkon z ekspozycją wschodnią •⁠ ⁠Łazienka wyposażona w wannę •⁠ ⁠Osobna toaleta •⁠ ⁠4 piętro w czteropiętrowym budynku z 1996 r •⁠ ⁠Ogrzewanie i ciepła woda z miejskiej sieci MPEC •⁠ ⁠Dębowy parkiet, mieszkanie do wejścia od zaraz •⁠ ⁠Budynek po niedawnej renowacji elewacji (2020) •⁠ ⁠Nowoczesna instalacja fotowoltaiczna na dachu •⁠ ⁠Monitoring i ogrodzenie z ekranami dźwiękoszczelnymi, pas zieleni wokół •⁠ ⁠Miejsce parkingowe z kontrolą dostępu (szlaban) Zainteresowane osoby zapraszam do kontaktu i umówienia się na prezentację. Mieszkanie dostępne od zaraz.",,tak,osobna,plastikowe,własność,"Wyposażenie: internet, klimatyzacja, kuchenka, lodówka, mikrofalówka, piekarnik, pralka, telewizor, zmywarka",50.028495,19.940973
Kraków,ul. Kobierzyńska,2.0,45.0,754947,16695.0,Bez pośredników,,2.0,https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-2-pokojowe-a1r5e5,https://s2.adresowa.pl/development/670664/nowe-mieszkania-apartamenty-casa-sole-4bda_cover.jpg,Kraków,ul. Kobierzyńska,1,,,16 695,"Nowe mieszkanie 2-pokojowe o powierzchni 45,22 m² w inwestycji Apartamenty CASA SOLE dewelopera Smart Apartments Sp.z o.o., na 1 piętrze w budynku 193E pod adresem ul. Kobierzyńska 193E, Kraków. Planowany termin oddania to III kwartał 2025 roku. O inwestycji Casa Sole to nowoczesna, przyjazna architektura, przyjazna architektura zaprojektowana dla rodzin. Inwestycja obejmuje budowę czterokondygnacyjnego budynku mieszkalnego, wielorodzinnego, wykończonego trwałymi i eleganckimi materiałami z dbałością o wszelkie detale architektoniczne. Klienci mają do wyboru 11 mieszkań o zróżnicowanym układzie i powierzchni. W ofercie znajdują się mieszkania z miejscami postojowymi w garażu podziemnym oraz komórkami lokatorskimi. Na parterz... więcej > O inwestycji Casa Sole to nowoczesna, przyjazna architektura, przyjazna architektura zaprojektowana dla rodzin. Inwestycja obejmuje budowę czterokondygnacyjnego budynku mieszkalnego, wielorodzinnego, wykończonego trwałymi i eleganckimi materiałami z dbałością o wszelkie detale architektoniczne. Klienci mają do wyboru 11 mieszkań o zróżnicowanym układzie i powierzchni. W ofercie znajdują się mieszkania z miejscami postojowymi w garażu podziemnym oraz komórkami lokatorskimi. Na parterze dostępne są 3 lokale usługowe. Budynek wyposażony jest w dwubiegową klatkę schodową i windę obsługującą wszystkie kondygnacje. Nieruchomość jest również przystosowana do potrzeb osób niepełnosprawnych. Lokalizacja Casa Sole to doskonałe miejsce dla osób poszukujących mieszkania w dobrze skomunikowanej lokalizacji, a jednocześnie na terenie, z niską, kameralną zabudową. Nie bez znaczenia pozostaje bliskość Kampusu Uniwersytetu Jagiellońskiego, Krakowskiego Parku Technologicznego oraz licznych biur międzynarodowych korporacji. Dzięki dobrej komunikacji autobusowej można bez problemu dotrzeć do centrum miasta. Pokonując krótki odcinek pieszo można dojść do szkół, przedszkoli, aptek, przychodni oraz do sklepów. Tereny rekreacyjne , takie jak Krakowski Klub Jazdy Konnej , Skałki Twardowskiego, Las Żywiecki , Las Borkowski , centra sportu i rekreacji czy też ścieżki rowerowe sprzyjają aktywnemu wypoczynkowi. W bliskim sąsiedztwie realizowane są inwestycje miejskie; Trasa Łagiewnicka, Dom kultury na Ruczaju.",,,,,,,50.01300048828125,19.89900016784668
Kraków,ul. Heleny,2.0,50.0,620000,12324.0,Oferta biura nieruchomości,wczorajnowe,26.0,https://adresowo.pl/o/mieszkanie-krakow-ul-heleny-2-pokojowe-q2y7e1,https://s2.adresowa.pl/oi/26/7f/3ac99c_5da0_cover-2-pokojowe-mieszkanie-krakow-ul-heleny.jpg,Kraków,ul. Heleny,3,1970.0,blok,12 324,"| Funkcjonalne mieszkanie 2-pokojowe z oddzielną kuchnią i balkonem - Bieżanów-Prokocim Biuro Nieruchomości Bracia Sadurscy oferuje na sprzedaż przestronne, 2-pokojowe mieszkanie z oddzielną kuchnią o powierzchni 50,31m² wraz z przynależną piwnicą 2,62m2 , zlokalizowane w spokojnej części dzielnicy Bieżanów-Prokocim w Krakowie. Lokal położony jest na 3. piętrze czteropiętrowego budynku z lat 80-tych. Na układ mieszkania składają się: Jasna, oddzielna kuchnia - dobrze doświetlona. Przestronny salon z wyjściem na balkon Ustawna sypialnia - zapewniająca komfort i prywatność. Łazienka - funkcjonalnie zaaranżowana. Oddzielne WC - zwiększające komfort codziennego użytkowania. Przedpokój - z miejscem na szafę i przechowywanie. Mieszkanie jest jasne i słoneczne dzięki dużym oknom. Łazienka po generalnym remoncie wraz z wymienioną instalacją wodno-kanalizacyjną. Ogrzewanie i ciepła woda pochodzą z sieci miejskiej (MPEC). Dodatkowe atuty: Piwnica - 2,62 m² , Parking pod blokiem - dostępny dla mieszkańców. Lokalizacja: Świetna komunikacja - w pobliżu przystanek tramwajowy oraz dogodny dojazd do węzła wielickiego, co umożliwia szybkie poruszanie się po mieście. Pełna infrastruktura handlowo-usługowa - w najbliższym sąsiedztwie m.in. Lidl, Biedronka, lokalne sklepy i punkty usługowe. Szpital Uniwersytecki - szybki dostęp do opieki medycznej. Placówki edukacyjne - w okolicy znajduje się szkoła podstawowa, przedszkole oraz żłobek. Tereny zielone i rekreacja - Park Aleksandry oraz liczne zielone przestrzenie idealne do spacerów i aktywnego wypoczynku. Informacje dodatkowe: Czynsz administracyjny: 740 zł/mies. Budynek w dobrym stanie technicznym, z zadbaną klatką schodową. Bezpieczna, spokojna okolica. Zapraszam do kontaktu i na prezentację! Urszula Grecka Tel.: [numer] Email: [email] ::DODATKOWE INFORMACJE | Kategoria oferty: Mieszkania dla rodzin z dziećmi | Rodzaj budynku: blok | Dozór budynku: monitoring | Gaz: jest | Woda: ciepła - miejska | Otoczenie: osiedle | Ogrzewanie: C.O. miejskie | Linie telefoniczne: TAK | Internet: TAK | Telewizja kablowa: TAK | Winda: NIE | Rozkład: dwustronne | Usytuowanie: dwustronne | Opłaty w czynszu: zaliczka na fundusz remontowy, wywóz śmieci, woda ciepła, woda, ogrzewanie, monitoring, fundusz remontowy, Części wspólne, administracja | Opłaty wg liczników: prąd, gaz | Rodzaj mieszkania: jednopoziomowe | Piwnica [m2]: 2,6200 | Piwnica: TAK | Stan lokalu: częściowo po remoncie | Okna: PCV | Instalacje: ELEKTRYCZNA, GAZOWA | Liczba balkonów: 1 | Rok budowy: 1970 | Liczba pokoi: 2 | Liczba sypialni: 2 | Podłogi pokoi: PCV | Ściany pokoi: tynk | Typ kuchni: jasna z oknem | Rodzaj kuchni: do remontu | Typ łazienki: bez wc | Liczba łazienek: 1 | Glazura łazienki: nowego typu | Podłoga łazienki: gres | Wyposażenie łazienki: wanna, umywalka, prysznic, pralka, lustro | Ściany łazienki: glazura | Liczba WC: 1 | Liczba przedpokoi: 1 | Ściany przedpokoi: boazeria | ::LINK DO STRONY | [www]/offer/BS2-MS-313212 Zobacz Wirtualny Spacer: [www]/show/?m=tfBNLQNxAZW ::KONTAKT DO AGENTA | Urszula Grecka | [numer] | [email] ::DANE BIURA | Oddział BS2, Rynek Pierwotny | Przewóz 47 | 30-081 Kraków | [numer] -------------------------- ::GRATIS | Nasza prowizja zawiera: koszt przedwstępnej notarialnej umowy sprzedaży nieruchomości z rynku wtórnego. ::GWARANCJA | Gwarancja zwrotu zadatku. Więcej informacji na [www]/zwrot-zadatku/ |",tak,,,plastikowe,własność,"Wyposażenie: internet, pralka",50.01418,20.023656
Kraków,ul. Leonida Teligi,4.0,63.0,419000,6607.0,Oferta biura nieruchomości,wczorajnowe,1.0,https://adresowo.pl/o/mieszkanie-krakow-ul-leonida-teligi-4-pokojowe-p4l4g3,https://s2.adresowa.pl/oi/79/5f/3ac998_2ca9_cover-4-pokojowe-mieszkanie-krakow-ul-leonida-teligi.jpg,Kraków,ul. Leonida Teligi,3,1985.0,blok,6 607,Polecamy Państwu na sprzedaż cztero-pokojowe mieszkanie zlokalizowane na 3 piętrze w bloku przy ulicy Teligi w Krakowie. Mieszkanie w stanie do kapitalnego remontu. Okna drewniane. Do mieszkania przynależy piwnica o powierzchni około 5m2. UWAGA: Mieszkanie z lokatorem. Lokator nie płaci i ma wpisaną dożywotnią służebność mieszkania. Po więcej szczegółów zapraszam do kontaktu bezpośredniego.,,,,,własność,,50.015137,20.007303
Kraków Prądnik Biały,al. 29 Listopada,2.0,39.0,640000,16335.0,Bez pośredników,2 dni temu,8.0,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-al-29-listopada-2-pokojowe-g8w6k4,https://s2.adresowa.pl/oi/23/3a/3ac65e_c069_cover-2-pokojowe-mieszkanie-krakow-pradnik-bialy-al-29-listopada.jpg,Kraków Prądnik Biały,al. 29 Listopada,8 / winda,2008.0,blok,16 335,"Na sprzedaż ustawne i funkcjonalne mieszkanie o powierzchni 39,18 m² , na osiedlu Górka Narodowa przy alei 29 Listopada w Krakowie. - Lokalizacja: Osiedle Górka Narodowa, al. 29 Listopada – doskonała komunikacja z centrum miasta, nowa pętla „Górka Narodowa P+R” ,przystanki MPK, sklepy, szkoła podstawowa, tereny zielone. Rozwijająca się okolica z nową infrastrukturą, ścieżkami rowerowymi. - Budynek Rok budowy 2008r. Zadbany blok z windą. Czysta klatka schodowa, monitoring, dostęp do miejsc parkingowych pod budynkiem. Budynek prezentuje się bardzo dobrze – zgodnie ze zdjęciem załączonym w ogłoszeniu. -Rozkład mieszkania (zgodnie z planem): Pokój dzienny – 13,2 m² Sypialnia – 12,6 m² Kuchnia – 3,7 m² (osobna) Łazienka – 3,9 m² Korytarz – 5,8 m² Balkon – ok. 6,05 m² Mieszkanie znajduje się na 8 piętrze z widokiem na panoramę miasta. Jasne, dobrze doświetlone, z dużym balkonem – idealne do zamieszkania lub jako inwestycja pod wynajem. -Dodatkowe atuty: Oddzielna kuchnia Duży balkon Nowoczesny budynek Spokojna, dobrze skomunikowana okolica Niski czynsz administracyjny ok 500 zł Na piętrze znajduje się do dyspozycji komórka lokatorska. Kontakt: Zapraszam do kontaktu telefonicznego lub mailowego w celu umówienia się na prezentację. Chętnie odpowiem na wszystkie pytania! Na sprzedaż mieszkanie 2-pokojowe o powierzchni 39 m² 8 piętro w 8-piętrowym bloku z windą z 2008 roku Kraków, Górka Narodowa, al. 29 Listopada Balkon, osobna kuchnia Mieszkanie w stanie bardzo dobrym, okna plastikowe Odrębna własność z księgą wieczystą Wyposażenie: internet, kuchenka, lodówka, mikrofalówka, piekarnik, pralka, zmywarka,telewizor Cena do negocjacji.",tak,tak,osobna,plastikowe,własność,"Wyposażenie: internet, kuchenka, lodówka, mikrofalówka, piekarnik, pralka, telewizor, zmywarka",50.10123,19.964205
Kraków Ruczaj,ul. Drukarska,2.0,52.0,886000,17114.0,Bez pośredników,3 dni temu,17.0,https://adresowo.pl/o/mieszkanie-krakow-ruczaj-ul-drukarska-2-pokojowe-o1k3x7,https://s2.adresowa.pl/oi/37/46/3ac466_a73e_cover-2-pokojowe-mieszkanie-krakow-ruczaj-ul-drukarska.jpg,Kraków Ruczaj,ul. Drukarska,1 / winda,2006.0,blok,17 114,"Do sprzedaży atrakcyjne mieszkanie zlokalizowane na Ruczaju, przy ul. Drukarskiej. Nieruchomość znajduje się na I piętrze zadbanego budynku mieszkalnego z 2006 r. W budynku winda. Mieszkanie składa się z dwóch oddzielnych pokoi, kuchni, łazienki i przedpokoju. Stan bardzo dobry. Do mieszkania przynależy zielony taras o powierzchni ok. 65 m2. Ogrzewanie i woda z MPEC-u. Czynsz ok. 650 zł/miesiąc. Pełna własność z księgą wieczystą.",,,osobna,,własność,"Wyposażenie: pralka, lodówka, piekarnik, zmywarka",50.024059,19.904481
Kraków,ul. Kobierzyńska,3.0,59.0,868623,14700.0,Bez pośredników,,2.0,https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-3-pokojowe-w4e3o4,https://s2.adresowa.pl/development/670664/nowe-mieszkania-apartamenty-casa-sole-4bda_cover.jpg,Kraków,ul. Kobierzyńska,1,,,14 700,"Nowe mieszkanie 3-pokojowe o powierzchni 59,09 m² w inwestycji Apartamenty CASA SOLE dewelopera Smart Apartments Sp.z o.o., na 1 piętrze w budynku 193E pod adresem ul. Kobierzyńska 193E, Kraków. Planowany termin oddania to III kwartał 2025 roku. O inwestycji Casa Sole to nowoczesna, przyjazna architektura, przyjazna architektura zaprojektowana dla rodzin. Inwestycja obejmuje budowę czterokondygnacyjnego budynku mieszkalnego, wielorodzinnego, wykończonego trwałymi i eleganckimi materiałami z dbałością o wszelkie detale architektoniczne. Klienci mają do wyboru 11 mieszkań o zróżnicowanym układzie i powierzchni. W ofercie znajdują się mieszkania z miejscami postojowymi w garażu podziemnym oraz komórkami lokatorskimi. Na parterz... więcej > O inwestycji Casa Sole to nowoczesna, przyjazna architektura, przyjazna architektura zaprojektowana dla rodzin. Inwestycja obejmuje budowę czterokondygnacyjnego budynku mieszkalnego, wielorodzinnego, wykończonego trwałymi i eleganckimi materiałami z dbałością o wszelkie detale architektoniczne. Klienci mają do wyboru 11 mieszkań o zróżnicowanym układzie i powierzchni. W ofercie znajdują się mieszkania z miejscami postojowymi w garażu podziemnym oraz komórkami lokatorskimi. Na parterze dostępne są 3 lokale usługowe. Budynek wyposażony jest w dwubiegową klatkę schodową i windę obsługującą wszystkie kondygnacje. Nieruchomość jest również przystosowana do potrzeb osób niepełnosprawnych. Lokalizacja Casa Sole to doskonałe miejsce dla osób poszukujących mieszkania w dobrze skomunikowanej lokalizacji, a jednocześnie na terenie, z niską, kameralną zabudową. Nie bez znaczenia pozostaje bliskość Kampusu Uniwersytetu Jagiellońskiego, Krakowskiego Parku Technologicznego oraz licznych biur międzynarodowych korporacji. Dzięki dobrej komunikacji autobusowej można bez problemu dotrzeć do centrum miasta. Pokonując krótki odcinek pieszo można dojść do szkół, przedszkoli, aptek, przychodni oraz do sklepów. Tereny rekreacyjne , takie jak Krakowski Klub Jazdy Konnej , Skałki Twardowskiego, Las Żywiecki , Las Borkowski , centra sportu i rekreacji czy też ścieżki rowerowe sprzyjają aktywnemu wypoczynkowi. W bliskim sąsiedztwie realizowane są inwestycje miejskie; Trasa Łagiewnicka, Dom kultury na Ruczaju.",,,,,,,50.02299880981445,19.90999984741211
Kraków Nowa Huta,os. Urocze,2.0,35.0,520000,14857.0,Oferta biura nieruchomości,wczorajnowe,26.0,https://adresowo.pl/o/mieszkanie-krakow-nowa-huta-os-urocze-2-pokojowe-d5g8k7,https://s2.adresowa.pl/oi/31/1a/3ac994_2c05_cover-2-pokojowe-mieszkanie-krakow-nowa-huta-os-urocze.jpg,Kraków Nowa Huta,os. Urocze,2 / winda,1960.0,blok,14 857,"| Na sprzedaż wyjątkowo jasne, świeżo odświeżone 2-pokojowe mieszkanie o powierzchni ponad 35 m², zlokalizowane na zielonym i spokojnym osiedlu Uroczym - jednej z najbardziej klimatycznych, historycznych części Nowej Huty. Lokal położony jest na 2. piętrze zadbanego budynku z windą. Okolica sprzyja codziennemu komfortowi oraz wypoczynkowi wśród zieleni. MIESZKANIE Metraż: 35,2 m² Układ: -duży, słoneczny salon z aneksem kuchennym (ok. 20 m²) - oddzielna sypialnia - łazienka z prysznicem - przedpokój + balkon z przyjemnym widokiem Dodatkowo: piwnica dostęp do schronu dwustronna ekspozycja ogólnodostępne miejsca parkingowe przy i za budynkiem Stan techniczny: Mieszkanie w ostatnich latach przeszło gruntowny remont, w tym wymianę instalacji elektrycznej i hydraulicznej. Kilka miesięcy temu zostało ponownie odświeżone — obecnie jest gotowe do zamieszkania bez konieczności ponoszenia dodatkowych nakładów. Wyposażenie Mieszkanie jest w pełni umeblowane i wyposażone ( mini zmywarka, piekarnik, kuchenka, lodówko-zamrażarka, pralka, telewizor, sofa, dwuosobowe łóżko, stół z krzesłami, pojemne szafy itp.). To wygodna propozycja dla osób chcących wprowadzić się „na gotowo”. LOKALIZACJA Osiedle Urocze to jedno z najbardziej urokliwych, kameralnych i zielonych miejsc w Nowej Hucie. W bezpośredniej okolicy znajdują się: sklepy, piekarnia, apteka, punkty usługowe parki, skwery, liczne alejki spacerowe Zalew Nowohucki, Łąki Nowohuckie, Teatr Ludowy, Plac centralny - w zasięgu krótkiego spaceru Komunikacja jest bardzo wygodna — w pobliżu znajdują się przystanki tramwajowe i autobusowe, zapewniające szybki dojazd do centrum (ok. 20 minut). Dodatkowym atutem jest ogrzewanie MPEC, gwarantujące niskie koszty utrzymania. Czynsz 595 zł (przy dwóch osób wraz z zaliczkami). Idealne oferta dla singla, pary lub jako pewna inwestycja pod wynajem — dla osób ceniących spokój, zieleń i dobrą komunikację z centrum. Cena: 520 tyś. Polecam i zapraszam do kontaktu! Agnieszka Michałkowska Doradca ds. nieruchomości, licencja nr 28456 tel. [numer] ::DODATKOWE INFORMACJE | Rodzaj budynku: blok | Głośność: ciche | Widok: park/skwer | Gaz: jest | Woda: ciepła - miejska | Dojazd: asfalt | Otoczenie: osiedle | Ogrzewanie: C.O. miejskie | Komunikacja publ.: MPK, miejska, autobus miejski, miejska, tramwaj, tak, autobus | Odległość do komunikacji publicznej [m]: 200 | Odl. do sklepu [m]: 50 | Winda: TAK | Rozkład: 2 | Usytuowanie: dwustronne | Opłaty w czynszu: zaliczka na fundusz remontowy, wywóz śmieci, wywóz nieczystości, woda/ryczałt na wodę, woda ciepła, woda, Winda, sprzątanie, ogrzewanie, fundusz remontowy, Części wspólne, CO, administracja | Rodzaj mieszkania: jednopoziomowe | Piwnica [m2]: 3 | Piwnica: TAK | Stan lokalu: bardzo dobry | Okna: PCV | Instalacje: dobre | Balkon: jest | Powierzchnia użytkowa [m2]: 35,2000 | Rok budowy: 1960 | Liczba pokoi: 2 | Wysokość pomieszczeń [m]: 280 | Liczba sypialni: 1 | Typ kuchni: aneks kuchenny - połączony z salonem | Rodzaj kuchni: aneks kuchenny | Typ łazienki: razem z wc | Glazura łazienki: nowego typu | Podłoga łazienki: płytki | Wyposażenie łazienki: WC, umywalka, prysznic, pralka, natrysk, lustro, kabina prysznicowa | ::LINK DO STRONY | [www]/offer/BS3-MS-313168 Zobacz Wirtualny Spacer: [www]/show/?m=LdYaRNuVPsi ::KONTAKT DO AGENTA | Agnieszka Michałkowska | [numer] | [email] ::DANE BIURA | Oddział BS3, Przewóz | Przewóz 47/1 piętro | 31-509 Kraków | [numer] Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Agnieszka Michałkowska (licencja nr: 28456) -------------------------- ::GRATIS | Nasza prowizja zawiera: koszt przedwstępnej notarialnej umowy sprzedaży nieruchomości z rynku wtórnego. ::GWARANCJA | Gwarancja zwrotu zadatku. Więcej informacji na [www]/zwrot-zadatku/ |",tak,,aneks,plastikowe,własność,"Wyposażenie: kuchenka, piekarnik, pralka, telewizor, zmywarka",50.07849,20.038374
